text,label
"As per the official scheme guidelines, over 22 crore Soil Health Cards have been distributed to farmers so far under the scheme.",genuine
"As per the official scheme guidelines, farmers wanting to update their bank account or Aadhaar details for PM-Kisan should do so through the official portal or their bank, not through third-party links.",genuine
"As per the official scheme guidelines, PM Fasal Bima Yojana (PMFBY) charges farmers only 2% of the sum insured as premium for Kharif crops, with the government covering the rest.",genuine
"As per the official scheme guidelines, PMFBY uses satellite imagery and yield-estimation technology to help assess crop damage more objectively during claims.",genuine
"As per the official scheme guidelines, the government has continued PM Fasal Bima Yojana and the Restructured Weather Based Crop Insurance Scheme with an increased outlay for farmer coverage.",genuine
Forwarded as received: unverified post says Soil Health Card scheme has been replaced overnight and farmers must pay ₹200 to 'renew' their card on this link.,misleading
"Forwarded as received: forward says a 'special quota' of KCC loans at 0% interest is open only for the next 6 hours, apply through this personal number.",misleading
"Your Kisan Credit Card has been blocked, send your Aadhaar number and OTP on this chat within 1 hour to reactivate it.",misleading
Copy-pasting this from another group: this forward claims MGNREGA job cards are being cancelled unless farmers verify by clicking a link and entering their bank PIN.,misleading
Over 22 crore Soil Health Cards have been distributed to farmers so far under the scheme.,genuine
"Someone in the village group shared: government has announced FREE tractors for all farmers under a new scheme, only 100 slots left today, forward this message to 10 groups to register.",misleading
"Forwarded as received: chain message claims a new 'Kisan Diwali Bonus' of ₹25,000 will be sent only to those who forward this to 15 people right now.",misleading
"As per the official scheme guidelines, KCC has been extended to cover working capital needs for dairy and fisheries activities, not just crop production.",genuine
"According to the agriculture department, pM-Kisan eligibility was widened in April 2019 to remove the earlier 2-hectare landholding cap, covering more landholding farmer families.",genuine
"Farmers should note that farmers wanting to update their bank account or Aadhaar details for PM-Kisan should do so through the official portal or their bank, not through third-party links.",genuine
"Alert: PM Fasal Bima Yojana is closing forever this week, register through this unofficial link before the government shuts down claims.",misleading
"As per the official scheme guidelines, the Kisan Credit Card scheme offers loans up to ₹3 lakh at an effective interest rate of about 4% for farmers who repay on time.",genuine
"Copy-pasting this from another group: URGENT: PM-Kisan 15th installment of ₹4,000 will be credited tomorrow only, click this link now and confirm your bank details to receive it.",misleading
Someone in the village group shared: message spreading says all farmers must resubmit Aadhaar and bank details on this non-government website or lose PM-Kisan benefits forever.,misleading
"Someone in the village group shared: message claims scanning this QR code will instantly release your delayed PMFBY claim amount, no application needed.",misleading
"Copy-pasting this from another group: soil Health Card holders can now withdraw ₹10,000 cash bonus directly, just enter your card number and PIN on this website.",misleading
"Viral forward claims the government is giving ₹1 lakh instantly to any farmer who has an Aadhaar card, click the button below now.",misleading
"According to the agriculture department, under PM Krishi Sinchayee Yojana, farmers can get subsidy support for drip and sprinkler micro-irrigation systems.",genuine
"Someone in the village group shared: URGENT: PM-Kisan 15th installment of ₹4,000 will be credited tomorrow only, click this link now and confirm your bank details to receive it.",misleading
Forwarded as received: limited time: Free solar pump for every farmer who fills this Google form and pays ₹500 registration fee within 24 hours.,misleading
Someone in the village group shared: message says the government will cancel everyone's KCC loan automatically if this message is not forwarded to at least 10 farmer groups.,misleading
PMFBY uses satellite imagery and yield-estimation technology to help assess crop damage more objectively during claims.,genuine
This forward claims MGNREGA job cards are being cancelled unless farmers verify by clicking a link and entering their bank PIN.,misleading
"Someone in the village group shared: rumor spreading in farmer WhatsApp groups says MSP procurement centers are closing early this year, sell immediately or lose the chance.",misleading
Farmers should note that state agriculture departments periodically publish official lists of empanelled insurance companies for PMFBY on their websites.,genuine
"Someone in the village group shared: share this message urgently — MGNREGA wages have been increased to ₹1000 per day starting tomorrow, don't miss out, apply now on this link.",misleading
"As per the official scheme guidelines, MGNREGA guarantees 100 days of minimum wage employment per rural household per year, with wages varying by state.",genuine
"As per the official scheme guidelines, to apply for PMFBY, farmers can visit their local bank branch, a Common Service Centre, or the official pmfby.gov.in portal.",genuine
Forwarded as received: post says PM Fasal Bima Yojana claims will double if farmers pay a 'processing fee' upfront through this personal UPI ID.,misleading
"For Rabi season, PMFBY premium is capped at 1.5% of sum insured, while commercial and horticultural crops are capped at 5%.",genuine
Copy-pasting this from another group: chain message warns that not sharing this 'government scheme alert' will result in the farmer's name being removed from all subsidy lists.,misleading
